,name,religion,race,continent,country,age,gender,occupation,physics
0,max_iou,0.41602944666871955,0.5654235939811199,0.5662457222420972,0.5683015702583054,0.572456628117013,0.5782085841145579,0.5755218556931708,0.5683792755392312
1,min_iou,0.06816227329701145,0.42914145693093614,0.4636673539520734,0.465344669355476,0.4985220769218242,0.5238561455873311,0.5368677865255763,0.5577893121934412
2,SNSR_iou,0.3478671733717081,0.13628213705018372,0.10257836829002381,0.10295690090282938,0.07393455119518882,0.05435243852722682,0.03865406916759451,0.010589963345789988
3,SNSV_iou,0.1419932010804132,0.056084380577182937,0.042541975118294544,0.0326016457436385,0.03239916283185462,0.02063565955462778,0.01264952502021886,0.005294981672894994
4,max_serp_ms,0.17153041519150306,0.23732199618563254,0.2193753973299428,0.2215989807294155,0.23556821779044004,0.23489294210943695,0.2303289891926255,0.22230134813639968
5,min_serp_ms,0.03264123842962017,0.17489895697522817,0.18652333174072303,0.18684026118808728,0.1975176282051282,0.20308168120539255,0.21843152740483335,0.22169007341206512
6,SNSR_serp_ms,0.1388891767618829,0.062423039210404374,0.03285206558921977,0.034758719541328226,0.03805058958531185,0.0318112609040444,0.011897461787792163,0.0006112747243345595
7,SNSV_serp_ms,0.05729275645350685,0.025203988654220542,0.014160166991944636,0.01146814237420954,0.015739890485276034,0.011447915045755814,0.004159349422051941,0.00030563736216727977
8,max_prag,0.5368967921896792,0.6998760330578513,0.6993801652892563,0.7013940648723257,0.7091876272607498,0.7133195020746887,0.7165642076502732,0.7063298969072165
9,min_prag,0.094716459197787,0.5458827683615819,0.5925810904071773,0.5901518288474811,0.633465277777778,0.6506116838487973,0.6729218106995886,0.690698478561549
10,SNSR_prag,0.44218033299189224,0.1539932646962694,0.10679907488207896,0.11124223602484462,0.07572234948297185,0.06270781822589144,0.043642396950684614,0.015631418345667503
11,SNSV_prag,0.18076943180410812,0.06138167396607857,0.04481291894410406,0.03563515875142727,0.03288931874787782,0.02551941035925045,0.01405956171888381,0.007815709172833751
