,name,race,religion,continent,occupation,country,physics,gender,age
0,max_iou,0.36162841888254216,0.214780864558184,0.3571401987060998,0.3871957239463535,0.3607713703560776,0.4032546199659761,0.3761138898467275,0.37456090414558213
1,min_iou,0.10175159165140671,0.06352405148559126,0.2367233843397984,0.3161460057601554,0.2895496894605053,0.36999628579584815,0.3412205316777251,0.3340825819401781
2,SNSR_iou,0.2598768272311355,0.15125681307259273,0.12041681436630142,0.0710497181861981,0.07122168089557229,0.03325833417012797,0.03489335816900241,0.04047832220540404
3,SNSV_iou,0.12091340751162588,0.0607749388968474,0.05024772280089655,0.024129237494331626,0.021978255041046144,0.016629167085063984,0.013415787482661177,0.017368986462223505
4,max_serp_ms,0.19286129202605176,0.11871570232020795,0.16899314890295722,0.19824939634356678,0.18170459461798044,0.20416238348288177,0.19391092183479727,0.19776731205302636
5,min_serp_ms,0.05870696383661434,0.03974688089040481,0.12461883795217128,0.14356964424153673,0.14328789720437576,0.18724673274274187,0.18116815540716333,0.1680738946093277
6,SNSR_serp_ms,0.13415432818943743,0.07896882142980313,0.044374310950785936,0.05467975210203005,0.03841669741360468,0.016915650740139898,0.012742766427633945,0.02969341744369866
7,SNSV_serp_ms,0.06089799528156758,0.03159746352275622,0.018424080978586308,0.018428567352267364,0.013792737835915577,0.008457825370069949,0.005004977112090058,0.012857361315393823
8,max_prag,0.5366070303357638,0.3257927481816038,0.510120255543029,0.5231123675830246,0.5123847019122609,0.5581464703661759,0.5305785440613027,0.5192525481313703
9,min_prag,0.17256177281862298,0.09551536367172306,0.3744275280990257,0.4522863820049661,0.43461183629404254,0.5147244393766629,0.4798654363706266,0.49264113724914826
10,SNSR_prag,0.3640452575171409,0.23027738450988075,0.1356927274440033,0.07082598557805847,0.07777286561821839,0.04342203098951303,0.05071310769067605,0.026611410882222075
11,SNSV_prag,0.16188761114440575,0.09194461744232198,0.058170057614330035,0.0259861786855416,0.02434238807279698,0.021711015494756514,0.018393690737471886,0.011186151329698874
